name,description,brand,category,price,rating,review_count,image_url,product_url,source_website,in_stock
Essence Mascara Lash Princess,The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.,Essence,cosmetics,9.99,2.56,48,https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/thumbnail.webp,https://dummyjson.com/products/1,dummyjson.com,True
Eyeshadow Palette with Mirror,"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.",Glamour Beauty,cosmetics,19.99,2.86,10,https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/thumbnail.webp,https://dummyjson.com/products/2,dummyjson.com,True
Powder Canister,"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.",Velvet Touch,cosmetics,14.99,4.64,38,https://cdn.dummyjson.com/product-images/beauty/powder-canister/thumbnail.webp,https://dummyjson.com/products/3,dummyjson.com,True
Red Lipstick,"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.",Chic Cosmetics,cosmetics,12.99,4.36,83,https://cdn.dummyjson.com/product-images/beauty/red-lipstick/thumbnail.webp,https://dummyjson.com/products/4,dummyjson.com,True
Red Nail Polish,"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.",Nail Couture,cosmetics,8.99,4.32,50,https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/thumbnail.webp,https://dummyjson.com/products/5,dummyjson.com,True
Calvin Klein CK One,"CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.",Calvin Klein,cosmetics,49.99,4.37,41,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/thumbnail.webp,https://dummyjson.com/products/6,dummyjson.com,True
Chanel Coco Noir Eau De,"Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.",Chanel,cosmetics,129.99,4.26,48,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/thumbnail.webp,https://dummyjson.com/products/7,dummyjson.com,True
Dior J'adore,"J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.",Dior,cosmetics,89.99,3.8,93,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/thumbnail.webp,https://dummyjson.com/products/8,dummyjson.com,True
Dolce Shine Eau de,"Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.",Dolce & Gabbana,cosmetics,69.99,3.96,15,https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/thumbnail.webp,https://dummyjson.com/products/9,dummyjson.com,True
Gucci Bloom Eau de,"Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.",Gucci,cosmetics,79.99,2.74,54,https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/thumbnail.webp,https://dummyjson.com/products/10,dummyjson.com,True
Annibale Colombo Bed,"The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.",Annibale Colombo,fashion,1899.99,4.77,40,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/thumbnail.webp,https://dummyjson.com/products/11,dummyjson.com,True
Annibale Colombo Sofa,"The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.",Annibale Colombo,fashion,2499.99,3.92,93,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/thumbnail.webp,https://dummyjson.com/products/12,dummyjson.com,True
Bedside Table African Cherry,"The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.",Furniture Co.,fashion,299.99,2.87,16,https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/thumbnail.webp,https://dummyjson.com/products/13,dummyjson.com,True
Knoll Saarinen Executive Conference Chair,"The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.",Knoll,fashion,499.99,4.88,47,https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/thumbnail.webp,https://dummyjson.com/products/14,dummyjson.com,True
Wooden Bathroom Sink With Mirror,"The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.",Bath Trends,fashion,799.99,3.59,17,https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/thumbnail.webp,https://dummyjson.com/products/15,dummyjson.com,True
Apple,"Fresh and crisp apples, perfect for snacking or incorporating into various recipes.",Generic,healthcare,1.99,4.19,82,https://cdn.dummyjson.com/product-images/groceries/apple/thumbnail.webp,https://dummyjson.com/products/16,dummyjson.com,True
Beef Steak,"High-quality beef steak, great for grilling or cooking to your preferred level of doneness.",Generic,healthcare,12.99,4.47,38,https://cdn.dummyjson.com/product-images/groceries/beef-steak/thumbnail.webp,https://dummyjson.com/products/17,dummyjson.com,True
Cat Food,Nutritious cat food formulated to meet the dietary needs of your feline friend.,Generic,healthcare,8.99,3.13,59,https://cdn.dummyjson.com/product-images/groceries/cat-food/thumbnail.webp,https://dummyjson.com/products/18,dummyjson.com,True
Chicken Meat,"Fresh and tender chicken meat, suitable for various culinary preparations.",Generic,healthcare,9.99,3.19,84,https://cdn.dummyjson.com/product-images/groceries/chicken-meat/thumbnail.webp,https://dummyjson.com/products/19,dummyjson.com,True
Cooking Oil,"Versatile cooking oil suitable for frying, sautéing, and various culinary applications.",Generic,healthcare,4.99,4.8,37,https://cdn.dummyjson.com/product-images/groceries/cooking-oil/thumbnail.webp,https://dummyjson.com/products/20,dummyjson.com,True
Cucumber,"Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.",Generic,healthcare,1.49,4.07,30,https://cdn.dummyjson.com/product-images/groceries/cucumber/thumbnail.webp,https://dummyjson.com/products/21,dummyjson.com,True
Dog Food,Specially formulated dog food designed to provide essential nutrients for your canine companion.,Generic,healthcare,10.99,4.55,95,https://cdn.dummyjson.com/product-images/groceries/dog-food/thumbnail.webp,https://dummyjson.com/products/22,dummyjson.com,True
Eggs,"Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.",Generic,healthcare,2.99,2.53,24,https://cdn.dummyjson.com/product-images/groceries/eggs/thumbnail.webp,https://dummyjson.com/products/23,dummyjson.com,True
Fish Steak,"Quality fish steak, suitable for grilling, baking, or pan-searing.",Generic,healthcare,14.99,3.78,86,https://cdn.dummyjson.com/product-images/groceries/fish-steak/thumbnail.webp,https://dummyjson.com/products/24,dummyjson.com,True
Green Bell Pepper,"Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.",Generic,healthcare,1.29,3.25,61,https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/thumbnail.webp,https://dummyjson.com/products/25,dummyjson.com,True
Green Chili Pepper,"Spicy green chili pepper, ideal for adding heat to your favorite recipes.",Generic,healthcare,0.99,3.66,97,https://cdn.dummyjson.com/product-images/groceries/green-chili-pepper/thumbnail.webp,https://dummyjson.com/products/26,dummyjson.com,True
Honey Jar,"Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.",Generic,healthcare,6.99,3.97,97,https://cdn.dummyjson.com/product-images/groceries/honey-jar/thumbnail.webp,https://dummyjson.com/products/27,dummyjson.com,True
Ice Cream,"Creamy and delicious ice cream, available in various flavors for a delightful treat.",Generic,healthcare,5.49,3.39,97,https://cdn.dummyjson.com/product-images/groceries/ice-cream/thumbnail.webp,https://dummyjson.com/products/28,dummyjson.com,True
Juice,"Refreshing fruit juice, packed with vitamins and great for staying hydrated.",Generic,healthcare,3.99,3.94,97,https://cdn.dummyjson.com/product-images/groceries/juice/thumbnail.webp,https://dummyjson.com/products/29,dummyjson.com,True
Kiwi,"Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.",Generic,healthcare,2.49,4.93,79,https://cdn.dummyjson.com/product-images/groceries/kiwi/thumbnail.webp,https://dummyjson.com/products/30,dummyjson.com,True
